train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.7080745341614907,0.6624203821656051,0.8074696170603073,0.7806319512308624,EColi,4,3,random_live,16,136,1354,0.011816838995568686,0.04565415199588563,0.026837665829444912
0.7244582043343654,0.6878980891719745,0.8167469234884965,0.7941504956024013,EColi,4,3,random_live,24,136,1354,0.01772525849335303,0.03656011516239088,0.022596427886095283
0.7267080745341615,0.6624203821656051,0.8171720935565238,0.7806319512308624,EColi,4,3,random_live,32,136,1354,0.023633677991137372,0.06428769236855647,0.036540142325661384
0.752411575562701,0.6580645161290323,0.821848964304823,0.7758969705430685,EColi,4,3,random_live,48,136,1354,0.03545051698670606,0.09434705943366872,0.04595199376175452
0.7760252365930599,0.6797385620915033,0.8387028968890927,0.7846805342268137,EColi,4,3,random_live,64,136,1354,0.047267355982274745,0.09628667450155659,0.054022362662279
0.7911392405063291,0.6623376623376623,0.8455963846212642,0.7769091162920564,EColi,4,3,random_live,96,136,1354,0.07090103397341212,0.12880157816866677,0.0686872683292078
0.7924528301886793,0.6842105263157895,0.847980203317282,0.7856926799758016,EColi,4,3,random_live,128,136,1354,0.09453471196454949,0.1082423038728898,0.062287523341480355
0.7924528301886793,0.6710526315789473,0.847980203317282,0.7789334077900321,EColi,4,3,random_live,136,136,1354,0.10044313146233383,0.12140019860973195,0.0690467955272499
0.0,0.0,0.5,0.5,EColi,4,4,spectral,1,136,1354,0.0007385524372230429,0.0,0.0
0.5611510791366906,0.5037037037037037,0.7105683798223003,0.6799972340033191,EColi,4,4,spectral,2,136,1354,0.0014771048744460858,0.05744737543298695,0.030571145818981127
0.5663082437275986,0.5109489051094891,0.7133932385793624,0.684664853402176,EColi,4,4,spectral,3,136,1354,0.0022156573116691287,0.05535933861810949,0.028728385177186455
0.5185185185185185,0.45751633986928103,0.6992473443447624,0.6684376728747925,EColi,4,4,spectral,4,136,1354,0.0029542097488921715,0.06100217864923746,0.030809671469969935
0.6273291925465838,0.655367231638418,0.7666191456782301,0.7981052922736492,EColi,4,4,spectral,6,136,1354,0.004431314623338257,-0.02803803909183422,-0.03148614659541915
0.6461538461538462,0.6927374301675978,0.7783433895425025,0.8228609625668449,EColi,4,4,spectral,8,136,1354,0.005908419497784343,-0.04658358401375162,-0.04451757302434245
0.703030303030303,0.7209302325581395,0.8119656888863288,0.8299603540475752,EColi,4,4,spectral,12,136,1354,0.008862629246676515,-0.017899929527836478,-0.01799466516124637
0.7088607594936709,0.7108433734939759,0.8049143422183181,0.815957495851005,EColi,4,4,spectral,16,136,1354,0.011816838995568686,-0.001982614000304972,-0.01104315363268682
0.7255520504731862,0.7195121951219512,0.8142385361615522,0.817985893416928,EColi,4,4,spectral,24,136,1354,0.01772525849335303,0.006039855351234968,-0.003747357255375783
0.7272727272727273,0.7295597484276729,0.8083128129065085,0.8163608703669556,EColi,4,4,spectral,32,136,1354,0.023633677991137372,-0.002287021154945612,-0.008048057460447122
0.7579617834394905,0.7375,0.8285116330419673,0.8220426885487737,EColi,4,4,spectral,48,136,1354,0.03545051698670606,0.020461783439490455,0.0064689444931935736
0.8050314465408805,0.725,0.8560594060356456,0.8153466715839941,EColi,4,4,spectral,64,136,1354,0.047267355982274745,0.08003144654088057,0.04071273445165147
0.8037974683544303,0.7295597484276729,0.8536593561146072,0.8163608703669556,EColi,4,4,spectral,96,136,1354,0.07090103397341212,0.07423771992675743,0.0372984857476516
0.8037974683544303,0.7133757961783439,0.8536593561146072,0.8049972340033191,EColi,4,4,spectral,128,136,1354,0.09453471196454949,0.09042167217608643,0.048662122111288064
0.8037974683544303,0.7133757961783439,0.8536593561146072,0.8049972340033191,EColi,4,4,spectral,136,136,1354,0.10044313146233383,0.09042167217608643,0.048662122111288064
0.0,0.0,0.5,0.5,EColi,4,4,random_live,1,136,1354,0.0007385524372230429,0.0,0.0
0.08648648648648649,0.08695652173913043,0.5225988700564972,0.5227272727272727,EColi,4,4,random_live,2,136,1354,0.0014771048744460858,-0.0004700352526439411,-0.00012840267077551815
0.4626865671641791,0.47244094488188976,0.6628217866931632,0.6613267564078923,EColi,4,4,random_live,3,136,1354,0.0022156573116691287,-0.00975437771771065,0.0014950302852708708
0.4528301886792453,0.448,0.6575968780150627,0.6499631200442559,EColi,4,4,random_live,4,136,1354,0.0029542097488921715,0.004830188679245284,0.007633757970806787
0.5454545454545454,0.6111111111111112,0.7020938035511138,0.7378296146044625,EColi,4,4,random_live,6,136,1354,0.004431314623338257,-0.06565656565656575,-0.035735811053348665
0.5018450184501845,0.5633802816901409,0.6810453657436075,0.7130739443112668,EColi,4,4,random_live,8,136,1354,0.005908419497784343,-0.061535263239956395,-0.03202857856765928
0.6843853820598007,0.7080745341614907,0.7820394664209016,0.807636455836253,EColi,4,4,random_live,12,136,1354,0.008862629246676515,-0.02368915210168998,-0.02559698941535138
0.6821192052980133,0.691358024691358,0.7816146575848777,0.7999262400885119,EColi,4,4,random_live,16,136,1354,0.011816838995568686,-0.0092388193933447,-0.018311582503634183
0.7266881028938906,0.6951219512195121,0.810288053991523,0.8045938594873686,EColi,4,4,random_live,24,136,1354,0.01772525849335303,0.031566151674378484,0.005694194504154426
0.750788643533123,0.6748466257668712,0.827237206533896,0.7922160243407708,EColi,4,4,random_live,32,136,1354,0.023633677991137372,0.07594201776625187,0.03502118219312522
0.7795527156549521,0.7088607594936709,0.8386854446572489,0.8039830352203577,EColi,4,4,random_live,48,136,1354,0.03545051698670606,0.07069195616128121,0.03470240943689118
